defectId,severity,closedDate,application,openDate,rootCause,phase,projectName,status
3157,D-Low,6/13/2016,NGBA Phase 1.1,5/5/2016,Component Code,System Integration Test (SIT),A,Closed
3158,C-Medium,5/12/2016,NGBA Phase 1.1,5/5/2016,Not Available,System Integration Test (SIT),A,Closed
3159,B-High,5/13/2016,NGBA Phase 1.1,5/5/2016,Not Available,System Integration Test (SIT),A,Closed
3164,B-High,5/13/2016,NGBA Phase 1.1,5/5/2016,Installation,System Integration Test (SIT),A,Closed
3162,D-Low,5/24/2016,NGBA Phase 1.1,5/6/2016,Component Code,System Integration Test (SIT),A,Closed
3165,C-Medium,6/22/2016,NGBA Phase 1.1,5/6/2016,Component Code,System Integration Test (SIT),A,Closed
3166,C-Medium,6/3/2016,NGBA Phase 1.1,5/6/2016,Not Available,System Integration Test (SIT),A,Closed
3167,D-Low,6/9/2016,NGBA Phase 1.1,5/6/2016,Component Code,System Integration Test (SIT),A,Closed
3181,B-High,6/8/2016,NGBA Phase 1.1,5/9/2016,Not Available,System Integration Test (SIT),A,Closed
3189,C-Medium,5/13/2016,NGBA Phase 1.1,5/9/2016,Not Available,System Integration Test (SIT),A,Closed
3204,D-Low,7/7/2016,NGBA Phase 1.1,5/9/2016,Detailed Design,System Integration Test (SIT),A,Closed
3206,D-Low,7/7/2016,NGBA Phase 1.1,5/9/2016,Detailed Design,System Integration Test (SIT),A,Closed
3207,C-Medium,6/21/2016,NGBA Phase 1.1,5/9/2016,Not Available,System Integration Test (SIT),A,Closed
3211,C-Medium,5/17/2016,NGBA Phase 1.1,5/10/2016,Not Available,System Integration Test (SIT),A,Closed
3253,B-High,5/16/2016,NGBA Phase 1.1,5/12/2016,Not Available,System Integration Test (SIT),A,Closed
3269,C-Medium,5/12/2016,NGBA Phase 1.1,5/12/2016,Not Available,System Integration Test (SIT),A,Closed
3271,A-Critical,6/20/2016,NGBA Phase 1.1,5/12/2016,Component Code,System Integration Test (SIT),A,Closed
3272,C-Medium,6/13/2016,NGBA Phase 1.1,5/12/2016,Not Available,System Integration Test (SIT),A,Closed
3305,D-Low,6/9/2016,NGBA Phase 1.1,5/13/2016,Component Code,System Integration Test (SIT),A,Closed
3306,D-Low,9/27/2016,NGBA Phase 1.1,5/13/2016,Not Available,System Integration Test (SIT),A,Closed
3307,C-Medium,7/5/2016,NGBA Phase 1.1,5/13/2016,Not Available,System Integration Test (SIT),A,Closed
3308,D-Low,5/31/2016,NGBA Phase 1.1,5/13/2016,Component Code,System Integration Test (SIT),A,Closed
3310,D-Low,9/29/2016,NGBA Phase 1.1,5/13/2016,Not Available,System Integration Test (SIT),A,Closed
3315,D-Low,1/4/2017,NGBA Phase 1.1,5/13/2016,Reference Data,System Integration Test (SIT),A,Closed
3316,D-Low,7/8/2016,NGBA Phase 1.1,5/13/2016,Not Available,System Integration Test (SIT),A,Closed
